configuration_id,feature,mean_coefficient,std_coefficient,mean_absolute_coefficient,min_coefficient,max_coefficient,positive_fold_count,negative_fold_count,zero_fold_count,sign_consistency,selection_frequency,stability_ratio
LR-SELECTED-AP,var_49,0.09938529431819916,0.006134768897360357,0.09938529431819916,0.08813559263944626,0.10659755021333694,5,0,0,1.0,1.0,16.200332234350125
LR-SELECTED-AP,var_50,-0.045869223028421405,0.003922381290356235,0.045869223028421405,-0.05089786276221275,-0.041967425495386124,0,5,0,1.0,1.0,11.694228488493764
LR-SELECTED-AP,var_51,0.06588332653045655,0.0016016960080452963,0.06588332653045655,0.06319663673639297,0.06786712259054184,5,0,0,1.0,1.0,41.13347738866576
LR-SELECTED-AP,var_52,0.08898422122001648,0.0049244494343475735,0.08898422122001648,0.08076327294111252,0.0960874930024147,5,0,0,1.0,1.0,18.06988220842636
LR-SELECTED-AP,var_53,0.2113573968410492,0.004347276209715626,0.2113573968410492,0.20300745964050293,0.21522101759910583,5,0,0,1.0,1.0,48.61835012200989
LR-SELECTED-AP,var_54,-0.0528926707804203,0.004394280981803421,0.0528926707804203,-0.05832196772098541,-0.04689949378371239,0,5,0,1.0,1.0,12.03670657371354
LR-SELECTED-AP,var_55,0.05256854891777039,0.0052744942809964225,0.05256854891777039,0.04527084529399872,0.061211928725242615,5,0,0,1.0,1.0,9.966557193391681
LR-SELECTED-AP,var_56,-0.10449467003345489,0.0034024756814696514,0.10449467003345489,-0.10871750116348267,-0.10022404044866562,0,5,0,1.0,1.0,30.711364258248885
LR-SELECTED-AP,var_57,-0.05327469035983086,0.008389874501861468,0.05327469035983086,-0.0696062445640564,-0.04692227393388748,0,5,0,1.0,1.0,6.349879291759294
LR-SELECTED-AP,var_58,-0.08164523243904113,0.004880778646121205,0.08164523243904113,-0.08999843150377274,-0.07548841834068298,0,5,0,1.0,1.0,16.727911335196804
LR-SELECTED-AP,var_59,-0.03435657694935799,0.004696974319091929,0.03435657694935799,-0.04027925431728363,-0.028032220900058746,0,5,0,1.0,1.0,7.314618862127089
LR-SELECTED-AP,var_60,0.030191315338015556,0.0021059494441831644,0.030191315338015556,0.027778230607509613,0.03322179988026619,5,0,0,1.0,1.0,14.33620138479758
LR-SELECTED-AP,var_61,0.029811692982912065,0.006684520679925085,0.029811692982912065,0.023656081408262253,0.04162249341607094,5,0,0,1.0,1.0,4.459810121081888
LR-SELECTED-AP,var_62,0.05341026932001114,0.006084574482630409,0.05341026932001114,0.04736904054880142,0.06497698277235031,5,0,0,1.0,1.0,8.777979375957859
LR-SELECTED-AP,var_63,-0.053018341213464736,0.007398531870235851,0.053018341213464736,-0.06488644331693649,-0.04226217418909073,0,5,0,1.0,1.0,7.166062422026577
LR-SELECTED-AP,var_64,-0.04837606549263,0.006222039759858989,0.04837606549263,-0.06000232324004173,-0.042080916464328766,0,5,0,1.0,1.0,7.77495280642897
LR-SELECTED-AP,var_65,0.04042947217822075,0.005062269566840105,0.04042947217822075,0.03287026658654213,0.046185124665498734,5,0,0,1.0,1.0,7.986432102124358
LR-SELECTED-AP,var_66,0.0693880558013916,0.0022659848253709924,0.0693880558013916,0.06542592495679855,0.07180766761302948,5,0,0,1.0,1.0,30.621588911136868
LR-SELECTED-AP,var_67,0.14871937036514282,0.005486095029968015,0.14871937036514282,0.14175575971603394,0.15679863095283508,5,0,0,1.0,1.0,27.10842038877403
LR-SELECTED-AP,var_68,-0.04030921906232834,0.004947488600442915,0.04030921906232834,-0.046439625322818756,-0.03159072995185852,0,5,0,1.0,1.0,8.147410194885122
LR-SELECTED-AP,var_69,0.017576510459184645,0.003757788998108982,0.017576510459184645,0.01206686906516552,0.023751650005578995,5,0,0,1.0,1.0,4.6773542814747096
LR-SELECTED-AP,var_70,0.09450403451919556,0.0059412534458044295,0.09450403451919556,0.08811873197555542,0.10404392331838608,5,0,0,1.0,1.0,15.906413584481657
LR-SELECTED-AP,var_71,0.10926043838262559,0.003217710716329087,0.10926043838262559,0.10440903902053833,0.11273450404405594,5,0,0,1.0,1.0,33.95595440825314
LR-SELECTED-AP,var_72,-0.040297352522611615,0.003241443214786971,0.040297352522611615,-0.04540875181555748,-0.03659064322710037,0,5,0,1.0,1.0,12.431916850734408
LR-SELECTED-AP,var_73,-0.02663082368671894,0.0036570794440113352,0.02663082368671894,-0.03227274492383003,-0.0215203445404768,0,5,0,1.0,1.0,7.2819921181440925
LR-SELECTED-AP,var_74,0.06068377196788788,0.0029778678289987324,0.06068377196788788,0.05685168132185936,0.06554904580116272,5,0,0,1.0,1.0,20.378262385234017
LR-SELECTED-AP,var_75,-0.1251663088798523,0.002838081424302367,0.1251663088798523,-0.1280832588672638,-0.12076975405216217,0,5,0,1.0,1.0,44.10243758619781
LR-SELECTED-AP,var_76,-0.21348628401756287,0.005856151161816413,0.21348628401756287,-0.22260189056396484,-0.20631155371665955,0,5,0,1.0,1.0,36.455050103477404
LR-SELECTED-AP,var_77,-0.05593103244900703,0.002797059046339971,0.05593103244900703,-0.059190116822719574,-0.05191544070839882,0,5,0,1.0,1.0,19.996371732727592
LR-SELECTED-AP,var_78,0.15761491060256957,0.002378694619562612,0.15761491060256957,0.15441781282424927,0.1615651547908783,5,0,0,1.0,1.0,66.26109518486096
LR-SELECTED-AP,var_79,0.014155125897377729,0.003689109884779859,0.014155125897377729,0.006787048187106848,0.016243360936641693,5,0,0,1.0,1.0,3.8370030547955767
LR-SELECTED-AP,var_80,-0.17882171273231506,0.004652624467838903,0.17882171273231506,-0.18313109874725342,-0.16992810368537903,0,5,0,1.0,1.0,38.434589760769455
LR-SELECTED-AP,var_81,-0.2609039068222046,0.004860852456432722,0.2609039068222046,-0.2688848674297333,-0.25427064299583435,0,5,0,1.0,1.0,53.674516797340644
LR-SELECTED-AP,var_82,0.07907831519842148,0.0023093247715739985,0.07907831519842148,0.07592524588108063,0.08201751112937927,5,0,0,1.0,1.0,34.24304635355181
LR-SELECTED-AP,var_83,-0.06687039136886597,0.004044287476742834,0.06687039136886597,-0.07104762643575668,-0.060674965381622314,0,5,0,1.0,1.0,16.534529692413955
LR-SELECTED-AP,var_84,0.03250368684530258,0.0028546675722982816,0.03250368684530258,0.029729530215263367,0.03726136311888695,5,0,0,1.0,1.0,11.386154787589318
